Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.univariate.id.transformers,98945,8460,167,0,36700160
All.univariate.id.primops,73866,6852,71,0,36700160
All.univariate.(x + 1) * (x + 1).transformers,613040,52498,955,0,36700160
All.univariate.(x + 1) * (x + 1).primops,465500,31556,827,0,36700160
All.univariate.x * exp ((x * x) + 1).transformers,1219045,69782,1910,0,36700160
All.univariate.x * exp ((x * x) + 1).primops,589899,57372,1045,0,36700160
All.bivariate.x * y.transformers,1042877,54876,1425,0,36700160
All.bivariate.x * y.primops,210260,14466,382,0,36700160
All.bivariate.(sin x * cos y) * ((x ^ 2) + y).transformers,2552857,236120,3410,0,36700160
All.bivariate.(sin x * cos y) * ((x ^ 2) + y).primops,1007562,68768,1745,0,36700160
All.bivariate.y * exp ((x * x) + y).transformers,1846341,115884,2667,0,36700160
All.bivariate.y * exp ((x * x) + y).primops,610190,53032,1109,0,36700160
All.bivariate.(((x * cos x) + y) ^ 2) * exp (x * sin ((x + (y * y)) + 1)).transformers,4695867,458990,6316,0,36700160
All.bivariate.(((x * cos x) + y) ^ 2) * exp (x * sin ((x + (y * y)) + 1)).primops,2157007,152074,3997,0,36700160
All.bivariate.((tanh (exp y * cosh x) + (x ^ 2)) ^ 3) - ((((x * cos x) + y) ^ 2) * exp (x * sin ((x + (y * y)) + 1))).transformers,11564245,907364,15278,1,36700160
All.bivariate.((tanh (exp y * cosh x) + (x ^ 2)) ^ 3) - ((((x * cos x) + y) ^ 2) * exp (x * sin ((x + (y * y)) + 1))).primops,5300219,514292,10672,0,36700160
All.trivariate.(x * y) * z.transformers,1553767,132086,2293,0,36700160
All.trivariate.(x * y) * z.primops,352004,28248,711,0,36700160
All.trivariate.((tanh (exp (y + (z ^ 2)) * cosh x) + (x ^ 2)) ^ 3) - (((((x * ((z ^ 2) - 1)) * cos x) + y) ** (2 * z)) * exp (x * sin ((x + ((y * z) * x)) + 1))).transformers,14568371,1015784,19337,2,36700160
All.trivariate.((tanh (exp (y + (z ^ 2)) * cosh x) + (x ^ 2)) ^ 3) - (((((x * ((z ^ 2) - 1)) * cos x) + y) ** (2 * z)) * exp (x * sin ((x + ((y * z) * x)) + 1))).primops,7238531,410950,15864,0,36700160
All.4-ary.((x * y) * z) * w.transformers,2158551,105790,3243,0,36700160
All.4-ary.((x * y) * z) * w.primops,498693,33770,1057,0,36700160
All.4-ary.((x + w) ^ 4) * exp (x + (cos ((y ^ 2) * sin z) * w)).transformers,5492718,448850,7839,0,36700160
All.4-ary.((x + w) ^ 4) * exp (x + (cos ((y ^ 2) * sin z) * w)).primops,2333642,230286,4667,0,36700160
All.4-ary.(log ((x ^ 2) + w) / (log (x + w) ^ 4)) * exp (x + (cos ((y ^ 2) * sin z) * w)).transformers,8503106,711108,11696,0,36700160
All.4-ary.(log ((x ^ 2) + w) / (log (x + w) ^ 4)) * exp (x + (cos ((y ^ 2) * sin z) * w)).primops,3656544,255698,8263,0,36700160
All.4-ary.(logBase ((x ^ 2) + w) ((cos ((x ^ 2) + (2 * z)) + w) + 1) ^ 4) * exp (x + ((sin (pi * x) * cos ((exp y ^ 2) * sin z)) * w)).transformers,18588195,1755116,23218,1,36700160
All.4-ary.(logBase ((x ^ 2) + w) ((cos ((x ^ 2) + (2 * z)) + w) + 1) ^ 4) * exp (x + ((sin (pi * x) * cos ((exp y ^ 2) * sin z)) * w)).primops,10354888,827742,23168,1,36700160
All.4-ary.(logBase ((x ^ 2) + tanh w) ((cos ((x ^ 2) + (2 * z)) + w) + 1) ^ 4) + exp (x + ((sin ((pi * x) + (w ^ 2)) * (cosh ((exp y ^ 2) * sin z) ^ 2)) * (w + 1))).transformers,23931616,1683000,28496,4,36700160
All.4-ary.(logBase ((x ^ 2) + tanh w) ((cos ((x ^ 2) + (2 * z)) + w) + 1) ^ 4) + exp (x + ((sin ((pi * x) + (w ^ 2)) * (cosh ((exp y ^ 2) * sin z) ^ 2)) * (w + 1))).primops,12591381,897510,28712,1,36700160
